cos,usr_click_nums,same_cos_nums,±»÷µ
0.035714,220,768,0.286458333
0.372678,0,2,0
0.067625,0,1,0
0.096225,1596,11895,0.134174023
0.016274,1,2,0.5
0.018455,0,1,0
0.056911,284,1025,0.277073171
0.036515,339,1869,0.181380417
0.268328,472,3190,0.147962382
0.049767,133,469,0.28358209
0.071919,14,48,0.291666667
0.039344,0,1,0
0.042108,279,1331,0.209616829
0.053644,197,725,0.271724138
0.025158,48,251,0.19123506
0.230633,0,2,0
0.01557,1,1,1
0.028868,218,986,0.221095335
0.090536,129,620,0.208064516
0.019858,0,2,0
0.030069,1,1,1
0.124035,6336,53600,0.118208955
0.134704,9,24,0.375
0.024769,39,200,0.195
0.022119,3,14,0.214285714
0.068199,3012,24327,0.123813047
0.020563,8,42,0.19047619
0.032444,245,1199,0.204336947
0.050833,11,34,0.323529412
0.100472,1,3,0.333333333
0.035991,151,553,0.273056058
0.015962,0,2,0
0.03338,2,6,0.333333333
0.01716,1,1,1
0.091406,2,7,0.285714286
0.019157,4,9,0.444444444
0.038405,0,4,0
0.177705,281,1520,0.184868421
0.132068,3,24,0.125
0.073127,51,207,0.246376812
0.047405,938,5827,0.160974773
0.121447,0,1,0
0.026612,22,78,0.282051282
0.081312,1018,4462,0.228148812
0.087538,1,3,0.333333333
0.105736,60,246,0.243902439
0.017767,1,5,0.2
0.106752,1,4,0.25
0.136083,379,2123,0.178520961
0.045691,3,9,0.333333333
0.055902,3277,20316,0.161301437
0.051813,141,477,0.295597484
0.074796,1042,4359,0.239045653
0.038173,10,26,0.384615385
0.141108,7,41,0.170731707
0.121988,0,2,0
0.026307,59,301,0.196013289
0.041213,19,80,0.2375
0.058277,0,2,0
0.20226,341,1818,0.187568757
0.034021,135,510,0.264705882
0.021597,6,31,0.193548387
0.060424,0,2,0
0.19696,25,158,0.158227848
0.10056,75,301,0.249169435
0.016096,0,1,0
0.243332,31,189,0.164021164
0.034199,258,1258,0.20508744
0.050078,125,419,0.298329356
0.032827,86,398,0.216080402
0.030168,1,3,0.333333333
0.023905,39,121,0.32231405
0.05341,0,1,0
0.060971,24,72,0.333333333
0.026352,79,427,0.18501171
0.033036,0,1,0
0.061085,1286,6725,0.191226766
0.019842,11,41,0.268292683
0.061199,20,76,0.263157895
0.024731,31,190,0.163157895
0.030032,0,1,0
0.019121,2,14,0.142857143
0.087149,23,74,0.310810811
0.151186,4522,26187,0.172681101
0.043519,398,1702,0.233842538
0.033976,0,2,0
0.052632,10,35,0.285714286
0.130814,3,17,0.176470588
0.018732,0,4,0
0.272798,46,242,0.190082645
0.038348,724,4190,0.172792363
0.070632,1,1,1
0.415227,1,5,0.2
0.019889,2,4,0.5
0.078193,0,1,0
0.021437,1,10,0.1
0.091168,1,3,0.333333333
0.027343,0,1,0
0.070129,11,30,0.366666667
0.069007,2476,18883,0.131123233
0.037582,183,782,0.234015345
0.085868,2,2,1
0.018078,0,15,0
0.030994,0,1,0
0.153393,3211,20417,0.157270902
0.034529,2,7,0.285714286
0.258199,4735,60126,0.078751289
0.074651,13,54,0.240740741
0.021344,13,49,0.265306122
0.037171,3,4,0.75
0.026679,113,441,0.256235828
0.015497,0,2,0
0.065779,25,59,0.423728814
0.111187,1,9,0.111111111
0.01729,2,12,0.166666667
0.031883,2,3,0.666666667
0.098924,3,6,0.5
0.147087,15,57,0.263157895
0.046004,97,311,0.311897106
0.0522,4,15,0.266666667
0.017903,3,9,0.333333333
0.042737,23,82,0.280487805
0.092376,0,2,0
0.019139,0,4,0
0.016044,0,1,0
0.064775,9,20,0.45
0.077267,939,4142,0.226702076
0.029019,1,1,1
0.021926,15,105,0.142857143
0.036226,0,2,0
0.044721,1221,7299,0.167283189
0.086459,1,5,0.2
0.068915,10,39,0.256410256
0.395285,1,9,0.111111111
0.070948,0,1,0
0.194029,6,39,0.153846154
0.059526,0,5,0
0.021537,7,19,0.368421053
0.088273,56,145,0.386206897
0.194257,2,4,0.5
